id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
1,frsd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
2,frsd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
3,frsd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
4,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
5,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
6,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
7,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
8,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
9,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
10,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
11,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
12,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
13,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
14,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
15,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
16,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
17,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
18,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
19,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
20,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
21,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
22,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
23,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
24,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
25,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
26,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
27,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
28,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
29,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
30,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
31,frst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
32,orcd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
33,orcd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
34,urld, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
35,urld, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
36,urld, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
37,urld, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
38,urld, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
39,urld, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
40,urmd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
41,urmd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
42,urmd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
43,wehb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
44,wehb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
45,wehb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
46,wehb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
47,wehb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
48,wehb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
49,wetf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
50,wetf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
51,wetf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
52,wetf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
53,wetf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
54,wetf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
55,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
56,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
57,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
58,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
59,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
60,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
61,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
62,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
63,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
64,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
65,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
66,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
67,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
68,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
69,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
70,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
71,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
72,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
73,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
74,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
75,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
76,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
77,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
78,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
79,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
80,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
81,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
82,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
83,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
84,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
85,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
86,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
87,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
88,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
89,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
90,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
91,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
92,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
93,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
94,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
95,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
96,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
97,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
98,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
99,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
100,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
101,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
102,agrl20,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,0
103,agrl26,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,0
104,agrl66,alfa,alfa,alfa,alfa,oats_cc,alfa,alfa,alfa,alfa,oats_cc,alfa,alfa,alfa,alfa,oats_cc,alfa,alfa,alfa,alfa,oats_cc,alfa,alfa,alfa,alfa,oats_cc,alfa,alfa,alfa,alfa,oats_cc,alfa,alfa,alfa,alfa,oats_cc,0
105,agrl90,alfa,alfa,alfa,fesc_mgt,barl,alfa,alfa,alfa,fesc_mgt,barl,alfa,alfa,alfa,fesc_mgt,barl,alfa,alfa,alfa,fesc_mgt,barl,alfa,alfa,alfa,fesc_mgt,barl,alfa,alfa,alfa,fesc_mgt,barl,alfa,alfa,alfa,fesc_mgt,barl,0
106,agrl96,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,0
107,agrl204,alfa,barl,barl,oats_cc,alfa,alfa,barl,barl,oats_cc,alfa,alfa,barl,barl,oats_cc,alfa,alfa,barl,barl,oats_cc,alfa,alfa,barl,barl,oats_cc,alfa,alfa,barl,barl,oats_cc,alfa,alfa,barl,barl,oats_cc,alfa,0
108,agrl207,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,0
109,agrl218,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,0
110,agrl246,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,0
111,agrl247,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,0
112,agrl253,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,0
113,agrl258,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,0
114,agrl270,alfa,csil_cc,csil_cc,alfa,fpea,alfa,csil_cc,csil_cc,alfa,fpea,alfa,csil_cc,csil_cc,alfa,fpea,alfa,csil_cc,csil_cc,alfa,fpea,alfa,csil_cc,csil_cc,alfa,fpea,alfa,csil_cc,csil_cc,alfa,fpea,alfa,csil_cc,csil_cc,alfa,fpea,0
115,agrl301,alfa,oats_cc,barl,barl,rye,alfa,oats_cc,barl,barl,rye,alfa,oats_cc,barl,barl,rye,alfa,oats_cc,barl,barl,rye,alfa,oats_cc,barl,barl,rye,alfa,oats_cc,barl,barl,rye,alfa,oats_cc,barl,barl,rye,0
116,agrl342,alfa,oats_cc,trit,alfa,rye,alfa,oats_cc,trit,alfa,rye,alfa,oats_cc,trit,alfa,rye,alfa,oats_cc,trit,alfa,rye,alfa,oats_cc,trit,alfa,rye,alfa,oats_cc,trit,alfa,rye,alfa,oats_cc,trit,alfa,rye,0
117,agrl343,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,0
118,agrl344,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,alfa,oats_cc,trit,buck,rye,0
119,agrl382,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,0
120,agrl386,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,0
121,agrl415,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,0
122,agrl430,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,0
123,agrl493,barl,alfa,trit,pota,oats_cc,barl,alfa,trit,pota,oats_cc,barl,alfa,trit,pota,oats_cc,barl,alfa,trit,pota,oats_cc,barl,alfa,trit,pota,oats_cc,barl,alfa,trit,pota,oats_cc,barl,alfa,trit,pota,oats_cc,0
124,agrl567,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,0
125,agrl580,barl,barl,oats_cc,fpea,barl,barl,barl,oats_cc,fpea,barl,barl,barl,oats_cc,fpea,barl,barl,barl,oats_cc,fpea,barl,barl,barl,oats_cc,fpea,barl,barl,barl,oats_cc,fpea,barl,barl,barl,oats_cc,fpea,barl,0
126,agrl713,barl,oats_cc,alfa,rye,alfa,barl,oats_cc,alfa,rye,alfa,barl,oats_cc,alfa,rye,alfa,barl,oats_cc,alfa,rye,alfa,barl,oats_cc,alfa,rye,alfa,barl,oats_cc,alfa,rye,alfa,barl,oats_cc,alfa,rye,alfa,0
127,agrl727,barl,oats_cc,barl,oats_cc,alfa,barl,oats_cc,barl,oats_cc,alfa,barl,oats_cc,barl,oats_cc,alfa,barl,oats_cc,barl,oats_cc,alfa,barl,oats_cc,barl,oats_cc,alfa,barl,oats_cc,barl,oats_cc,alfa,barl,oats_cc,barl,oats_cc,alfa,0
128,agrl732,barl,oats_cc,barl,oats_cc,wwht,barl,oats_cc,barl,oats_cc,wwht,barl,oats_cc,barl,oats_cc,wwht,barl,oats_cc,barl,oats_cc,wwht,barl,oats_cc,barl,oats_cc,wwht,barl,oats_cc,barl,oats_cc,wwht,barl,oats_cc,barl,oats_cc,wwht,0
129,agrl750,barl,oats_cc,oats_cc,barl,oats_cc,barl,oats_cc,oats_cc,barl,oats_cc,barl,oats_cc,oats_cc,barl,oats_cc,barl,oats_cc,oats_cc,barl,oats_cc,barl,oats_cc,oats_cc,barl,oats_cc,barl,oats_cc,oats_cc,barl,oats_cc,barl,oats_cc,oats_cc,barl,oats_cc,0
130,agrl762,barl,oats_cc,oats_cc,oats_cc,rye,barl,oats_cc,oats_cc,oats_cc,rye,barl,oats_cc,oats_cc,oats_cc,rye,barl,oats_cc,oats_cc,oats_cc,rye,barl,oats_cc,oats_cc,oats_cc,rye,barl,oats_cc,oats_cc,oats_cc,rye,barl,oats_cc,oats_cc,oats_cc,rye,0
131,agrl779,barl,oats_cc,rye,oats_cc,barl,barl,oats_cc,rye,oats_cc,barl,barl,oats_cc,rye,oats_cc,barl,barl,oats_cc,rye,oats_cc,barl,barl,oats_cc,rye,oats_cc,barl,barl,oats_cc,rye,oats_cc,barl,barl,oats_cc,rye,oats_cc,barl,0
132,agrl796,barl,oats_cc,trit,wwht,fpea,barl,oats_cc,trit,wwht,fpea,barl,oats_cc,trit,wwht,fpea,barl,oats_cc,trit,wwht,fpea,barl,oats_cc,trit,wwht,fpea,barl,oats_cc,trit,wwht,fpea,barl,oats_cc,trit,wwht,fpea,0
133,agrl808,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,0
134,agrl811,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,0
